"marca","modello","regione","zona_geografica","prezzo_auto","anno_prod","carrozzeria","tipo_di_veicolo","trazione","posti","porte","per_neopatentati","chilometraggio","kW","cv","cilindrata","marce","cilindri","carburante","classe_emissioni","colore","metallizzata","materiale","ibrida","usato_garantito","veicolo_non_fumatori","finiture","tagliandi_certificati","peso","emissioni","consumi","autoradio","isofix","park.distance.control","cruise.control","fendinebbia","bluetooth","volante.in.pelle","climatizzatore","sensori.parcheggio","volante.multifunzione","usb","computer.di.bordo","controllo.pressione.gomme","sedile.posteriore.sdoppiato","cerchi.in.lega","controllo.automatico.trazione","immobilizer","airbag.testa","bracciolo","sensore.luminosita","start.stop","navigatore","autoradio.digitale","frenata.emergenza","touch.screen","chiusura.centralizzata.telecomandata","sensore.pioggia","clima.automatico","mp3","fari.led","vivavoce","controllo.elettronico.corsia","android.auto","apple.car.play","hill.holder","telecamera.posteriore","limitatore.velocita","vetri.oscurati","sound.system","luci.diurne.led","luci.diurne","riconoscimento.segnali","sensori.parcheggio.anteriori","kit.antipanne","antifurto"
"Fiat ","Panda","Veneto","Nord Est",6900,2013,"City Car","Usato","Anteriore",4,5,"Si",32958,51,69,1242,"5",4,"Benzina","Euro 5","Bianca","No","Pelle","No","No","Non dichiarato","Non specificato","No",940,120,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Fiat ","Panda","Piemonte","Nord Ovest",11000,2022,"City Car","Usato","Anteriore",4,5,"Si",20132,51,69,999,"6 o piu",3,"Benzina","Euro 6","Nera","No","Pelle","Si","No","Non dichiarato","Non specificato","No",980,NA,3.9,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Lazio","Centro",3800,2004,"City Car","Usato","Anteriore",4,5,"Si",116000,44,60,1242,"Automatico",4,"Benzina","Euro 4 o meno","Colorata","No","Stoffa","No","6-12 mesi","Si","Colorate","No",935,133,5.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",10890,2022,"City Car","Usato","Anteriore",4,5,"Si",27685,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Bianca","No","Stoffa","Si","No","Non dichiarato","Nere","No",1055,93,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",5900,2011,"City Car","Usato",NA,4,5,"Si",98000,51,69,1242,"5",4,"GPL","Euro 5","Bianca","No","Stoffa","No","6-12 mesi","Non dichiarato","Colorate","No",930,104,4.9,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Fiat ","Panda","Lombardia","Nord Ovest",4900,2009,"City Car","Usato","Anteriore",4,5,"Si",99817,44,60,1242,"5",4,"Benzina","Euro 4 o meno","Bianca","No","Stoffa","No","No","Non dichiarato","Colorate","Si",930,119,5.6,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",9990,2020,"City Car","Usato","Anteriore",4,5,"Si",27000,51,69,1242,"5",4,"Benzina","Euro 6 Plus","Bianca","No","Altro","No","6-12 mesi","Non dichiarato","Grigie","Si",1055,111,4.9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",4800,2010,"City Car","Usato","Anteriore",4,5,"Si",144800,51,69,1242,"5",4,"Benzina","Euro 5","Nera","No","Stoffa","No","6-12 mesi","Si","Grigie","Si",935,113,4.9,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",10900,2013,"City Car","Usato","4x4",4,5,"Si",91300,55,75,1248,"5",4,"Gasolio","Euro 5","Colorata","Si","Stoffa","No","No","Non dichiarato","Non specificato","No",1190,124,4.7,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",10500,2022,"City Car","Usato","Anteriore",5,5,"Si",32200,51,69,999,"6 o piu",3,"Benzina","Euro 6","Grigia","Si","Stoffa","Si","Oltre 36 mesi","Non dichiarato","Nere","Si",1055,121,3.9,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",9090,2022,"City Car","Usato",NA,5,5,"Si",36500,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Nera","No","Stoffa","Si","Oltre 36 mesi","Si","Nere","No",1055,89,3.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",13990,2023,"City Car","Nuovo",NA,5,5,"Si",1,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Colorata","No","Altro","Si","No","Non dichiarato","Colorate","No",1055,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",12700,2023,"City Car","Usato","Anteriore",5,5,"Si",1,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Grigia","Si","Stoffa","Si","No","Non dichiarato","Nere","No",1055,121,3.9,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",7240,2020,"City Car","Usato","Anteriore",4,5,"Si",16890,51,69,1242,"5",4,"Benzina","Euro 6","Colorata","No","Stoffa","No","Oltre 36 mesi","Si","Nere","Si",1055,111,4.9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",10850,2022,"City Car","Usato","Anteriore",4,5,"Si",37800,51,69,999,"6 o piu",3,"Benzina","Euro 6 Plus","Grigia","Si","Stoffa","Si","6-12 mesi","Si","Nere","No",1055,89,3.9,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fiat ","Panda","Piemonte","Nord Ovest",5800,2009,"City Car","Usato","Anteriore",4,5,"Si",57200,44,60,1242,"5",4,"Benzina","Euro 4 o meno","Grigia","Si","Stoffa","No","No","Non dichiarato","Grigie","No",935,133,5.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",10900,2019,"City Car","Usato","Anteriore",4,5,"Si",62206,51,69,1242,"5",4,"Benzina","Euro 6","Colorata","No","Stoffa","No","No","Non dichiarato","Nere","No",1090,129,4.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Piemonte","Nord Ovest",12490,2021,"City Car","Usato","Anteriore",4,5,"Si",18300,51,69,999,"6 o piu",3,"Benzina","Euro 6","Nera","Si","Stoffa","Si","No","Non dichiarato","Nere","No",980,89,3.9,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Fiat ","Panda","Lombardia","Nord Ovest",2000,2010,"City Car","Usato","Anteriore",4,5,"Si",208577,51,69,1242,"5",4,"Benzina","Euro 5","Grigia","Si","Pelle","No","No","Non dichiarato","Non specificato","No",860,113,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dacia ","Sandero","Lazio","Centro",11900,2021,"City Car","Usato",NA,NA,NA,"No",43442,74,101,NA,NA,NA,"Benzina","Euro 6 Plus","Bianca","No","Altro","No","6-12 mesi","Non dichiarato","Non specificato","No",1106,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dacia ","Sandero","Lombardia","Nord Ovest",14900,2022,"City Car","Usato","Anteriore",5,5,"No",11000,67,91,999,"6 o piu",3,"Benzina","Euro 6","Grigia","Si","Stoffa","No","6-12 mesi","Non dichiarato","Nere","No",1096,119,5.3,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Dacia ","Sandero","Lazio","Centro",6990,2015,"City Car","Usato","Anteriore",5,5,"No",142857,66,90,1461,"5",4,"Gasolio","Euro 6","Colorata","No","Stoffa","No","6-12 mesi","Non dichiarato","Non specificato","No",1198,105,4,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Dacia ","Sandero","Emilia-Romagna","Centro",13250,2021,"City Car","Usato",NA,NA,5,"No",41099,74,101,999,NA,3,"GPL","Euro 6","Colorata","Si","Altro","No","No","Non dichiarato","Non specificato","No",1106,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
