Marca,Modello,Paese,Prezzo.auto,Anticipo,Durata,Importo.finanziato,Importo.totale.dovuto,TAEG,TAN.Fisso,Rata,Carrozzeria,Tipo.di.veicolo,Posti,Porte,Offerta.n.,Usato.garantito,Chilometraggio,Anno,Potenza,Tipo.di.cambio,Cilindrata,Marce,Cilindri,Peso.a.vuoto,Altre.fonti.energetiche,Consumo.di.carburante2.8,Emissioni.CO.2.8,Classe.emissioni,Comfort,Colore,Colore.specifico,Materiale,Acconto,Costo.del.trasferimento.,optional,Trazione,Versione.per.nazione,Veicolo.non.fumatori,Emissioni.CO.2,Tipo.di.vernice,Colore.finiture.interne,Intrattenimento...Media,Sicurezza,Extra,Anno.di.produzione,Importo.da.pagare,Importo.totale.netto.del.credito,Importo.lordo.del.credito..,Spese,TAEG.,Rata.mensile,Tagliandi.certificati,Acconto.1,Revisione,Proprietari,Carburante,Ultimo.tagliando
Alfa Romeo ,Tonale 1.5 160 CV MHEV TCT7 Ti,"Corciano - Perugia - Pg, IT","€ 26.800,-",-0,60 Mesi,"€ 26.800,-","€ 32.793,60","8,57 %","8,01 %","€ 543,41",SUV/Fuoristrada/Pick-up,Usato,5,5,u3876,Sì,131.652 km,10/2022,118 kW (160 CV),Automatico,1.469 cm³,7,4,1.600 kg,Corrente elettrica ,6 l/100 km (comb.),135 g/km (comb.),Euro 6d-TEMP,Comfort,Grigio,Grigio,Pelle totale,"€ 0,-","€ 1.150,-","Interni in pelle*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,TONALE 1.5 130CV HYBRID SPECIALE TCT7,"Voghera - Pavia - Pv, IT","€ 26.800,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,Nuovo,5,5,50978,0 mesi,0 km,NA,96 kW (131 CV),Automatico,1.469 cm³,7,4,NA,Corrente elettrica ,0 l/100 km (comb.),NA,Euro 6,Comfort,Blu/Azzurro,Blu Misano,Altro,"€ 0,-","€ 1.290,-","Portellone posteriore elettrico*AUTO PRIMA QUALITA', Certificate da 200 controlli dai nostri tecnici*KM AUTO, verificati e reali*LAVAGGIO E SANIFICAZIONE professionale con ozono*GARANZIA MINIMA 12 MESI estendibile fino a 36 mesi*SODDISFATTO O RIMBORSATO hai 14 giorni max 500km per restituirci l'auto*PREZZO TRASPARENTE, Spesso proponiamo formule finanziarie con prezzi ""promo"" ma non sono vincolanti per l' acquisto*FINANZIAMENTI SU MISURA*DAL 1961 siamo a Voghera in via Piacenza 176, facilmente raggiungibili dalle principali città del nord. Siamo concessionari ufficiali ALFA ROMEO, JEEP, FIAT, LANCIA e ABARTH*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore",Anteriore,Italia,Sì,0 g/km (comb.),Metallizzato,Altro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,1.5 130 CV MHEV TCT7 Sprint,"Bassano Del Grappa - Vicenza - Vi, IT","€ 29.900,-",-0,60 Mesi,"€ 29.900,-","€ 36.564,60","8,55 %","8,00 %","€ 606,26",SUV/Fuoristrada/Pick-up,Aziendale,5,5,20686221,NA,27.800 km,10/2022,96 kW (131 CV),Automatico,1.469 cm³,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6d,Comfort,Blu/Azzurro,Blu,Pelle parziale,"€ 0,-","€ 1.095,-","Alzacristalli elettrici*Climatizzatore*Cruise Control*Sedile posteriore sdoppiato*Sistema di navigazione*Specchietti laterali elettrici*Bluetooth*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag testa*Chiusura centralizzata*Controllo automatico trazione*ESP*Immobilizzatore elettronico*Servosterzo*Cerchi in lega (17"")*314,00*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,Sì,NA,Altro,Nero,Intrattenimento / Media,Sicurezza,Extra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,1.5 130 CV MHEV TCT7 Sprint,"Mappano Di Borgaro - Torino - To, IT","€ 30.000,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,Usato,5,5,7833329,NA,18.185 km,09/2022,96 kW (131 CV),Semiautomatico,1.469 cm³,7,4,1.525 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6,Comfort,Nero,Nero,Pelle parziale,NA,NA,"Chiusura centralizzata senza chiave*Park distance control*Sedile posteriore sdoppiato*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Supporto lombare*Volante in pelle*Android Auto*Bluetooth*USB*Adaptive Cruise Control*Controllo elettronico della corsia*Fari LED*Fari full-LED*Riconoscimento dei segnali stradali*Cerchi in lega*Controllo vocale*Tutti i prezzi si intendono al netto dei costi di messa su strada, voltura e gestione amministrativa. La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l’effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l’inconveniente e vi invitiamo a verificare con il nostro venditore le caratteristiche dello specifico veicolo. Saicar S.r.l declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,NA,NA,Metallizzato,Nero,Intrattenimento / Media,Sicurezza,Extra,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,1.5 130 CV MHEV TCT7 Sprint vari colori,"Torino - To, IT","€ 31.900,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,KM0,5,5,20640339,NA,1 km,03/2024,96 kW (131 CV),Automatico,1.469 cm³,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6d,Comfort,Blu/Azzurro,Blu,Stoffa,"€ 0,-","€ 999,-","Alzacristalli elettrici*Climatizzatore*Cruise Control*Park distance control*Sedile posteriore sdoppiato*Sistema di navigazione*Specchietti laterali elettrici*Telecamera per parcheggio assistito*Bluetooth*ABS*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag testa*Chiusura centralizzata*Controllo automatico trazione*ESP*Immobilizzatore elettronico*Servosterzo*Cerchi in lega*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,NA,NA,Metallizzato,Blu/Azzurro,Intrattenimento / Media,Sicurezza,Extra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,1.5 160 CV MHEV TCT7 Ti,"Fara Gera D'adda - Bergamo - Bg, IT","€ 33.450,-",NA,84 Mesi,NA,NA,NA,"8,88 %",NA,SUV/Fuoristrada/Pick-up,Usato,5,5,20414285,12 mesi,13.970 km,04/2023,118 kW (160 CV),Automatico,1.469 cm³,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6d,Comfort,Grigio,Grigio scuro,Pelle parziale,"€ 800,-","€ 714,-","Alzacristalli elettrici*Bracciolo*Chiusura centralizzata senza chiave*Climatizzatore*Climatizzatore automatico, 2 zone*Cruise Control*Hill Holder*Park distance control*Portellone posteriore elettrico*Sedile posteriore sdoppiato*Sensore di luminosità*Sensore di pioggia*Sensori di parcheggio assistito anteriori*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Start/Stop Automatico*Supporto lombare*Telecamera per parcheggio assistito*Volante in pelle*Volante multifunzione*Android Auto*Apple CarPlay*Autoradio*Autoradio digitale*Bluetooth*Carica per smartphone a induzione*Computer di bordo*MP3*Schermo multifunzione interamente digitale*Sound system*Streaming musicale integrato*USB*Vivavoce*ABS*Adaptive Cruise Control*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag testa*Chiusura centralizzata*Chiusura centralizzata telecomandata*Controllo automatico trazione*Controllo elettronico della corsia*ESP*Fari LED*Fari di profondità antiabbagliamento*Fari direzionali*Fari full-LED*Frenata d'emergenza assistita*Immobilizzatore elettronico*Isofix*Limitatore di velocità*Luci diurne*Luci diurne LED*Riconoscimento dei segnali stradali*Servosterzo*Sistema di avviso di distanza*Sistema di controllo pressione pneumatici*Sistema di riconoscimento della stanchezza*Cerchi in lega*Controllo vocale*Freno di stazionamento elettrico*Luce d'ambiente*Pneumatici estivi*Specchietto retrovisore con funzione antiabbagliamento*Touch screen*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,Sì,NA,Metallizzato,Grigio,Intrattenimento / Media,Sicurezza,Extra,NA,"€ 33.450,-","€ 34.950,-","€ 34.950,-","€ 0,-","10,10 %","€ 569,-",Sì,"€ 0,-",NA,NA,NA,NA
Alfa Romeo ,1.5 160 CV MHEV TCT7 Ti - Led/Camera/Navi,"Mogliano Veneto - Treviso - TV, IT","€ 31.400,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,Aziendale,5,5,20593218,12 mesi,23.800 km,09/2022,118 kW (160 CV),Automatico,1.469 cm³,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6d-TEMP,Comfort,Grigio,Grigio scuro,NA,NA,NA,"360° camera*Alzacristalli elettrici*Bracciolo*Chiusura centralizzata senza chiave*Climatizzatore*Climatizzatore automatico, 2 zone*Cruise Control*Hill Holder*Park distance control*Portellone posteriore elettrico*Sedile posteriore sdoppiato*Sensore di luminosità*Sensore di pioggia*Sensori di parcheggio assistito anteriori*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Start/Stop Automatico*Telecamera per parcheggio assistito*Volante in pelle*Volante multifunzione*Android Auto*Apple CarPlay*Autoradio*Autoradio digitale*Bluetooth*Carica per smartphone a induzione*Computer di bordo*MP3*Schermo multifunzione interamente digitale*Sound system*Streaming musicale integrato*USB*Vivavoce*ABS*Adaptive Cruise Control*Airbag conducente*Airbag laterali*Airbag passeggero*Airbag posteriore*Airbag testa*Assistente abbaglianti*Blind spot monitor*Chiusura centralizzata*Chiusura centralizzata telecomandata*Controllo automatico trazione*Controllo elettronico della corsia*ESP*Fari LED*Fari di profondità antiabbagliamento*Fari direzionali*Fari full-LED*Frenata d'emergenza assistita*Immobilizzatore elettronico*Isofix*Limitatore di velocità*Luci diurne*Luci diurne LED*Riconoscimento dei segnali stradali*Servosterzo*Sistema di avviso di distanza*Sistema di chiamata d'emergenza*Sistema di controllo pressione pneumatici*Sistema di riconoscimento della stanchezza*Cerchi in lega (18"")*Controllo vocale*Freno di stazionamento elettrico*Leve al volante*Luce d'ambiente*Marmitta catalitica*Pacchetto sportivo*Pneumatici da neve*Specchietto retrovisore con funzione antiabbagliamento*Spoiler*Touch screen*POSSIBILITA' DI FINANZIAMENTO SULLE VETTURE FINO A 84 MESI ANCHE SENZA ANTICIPO O CON FORMULA MINI RATA*Per i Nostri clienti offriamo servizi di GARANZIA fino a 60 mesi in grado di proteggere il proprio acquisto nel tempo, valida su tutta la parte meccanica del mezzo, kilometraggio illimitato. (Valida su auto con meno di 15 anni di vita)*Inoltre offriamo una protezione ulteriore grazie ad una polizza su misura che può comprendere: furto/incendio con valore a nuovo della durata di 36 mesi (pari all'importo riportato in fattura d'acquisto), atti vandalici, eventi sociopolitici, polizza cristalli, eventi naturali, grandine, animali selvatici, Kasko, Collisione Full o Collisione Mini, ecc.- il tutto SENZA FRANCHIGIE -*VALUTIAMO LA VOSTRA PERMUTA O ROTTAMAZIONE*TUTTI I NOSTRI PREZZI SI INTENDONO AL NETTO DELLE SPESE PER PASSAGGI DI PROPRIETA' O IMMATRICOLAZIONE* VASTA GAMMA VETTURE NUOVE - KM0 - SEMESTRALI – USATE  CONTATTACI ALLO 041/5028173 o VISITA IL NOSTRO SITO www.bmamotori.it SIAMO APERTI dal lunedì al sabato dalle 9.00 alle 12.30 e dalle 15.00 alle 19.30 a Mogliano Veneto (TV) in Via G. Marconi 131 (Strada statale Terraglio) *La invitiamo a verificare sempre le caratteristiche dello specifico veicolo o l'eventuale disponibilità in sede del mezzo. Bma Motori declina ogni responsabilità per eventuali involontarie incongruenze rispetto alla descrizione o all'ubicazione presente nell’annuncio.*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,Sì,NA,Metallizzato,Nero,Intrattenimento / Media,Sicurezza,Extra,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2026,1,NA,NA
Alfa Romeo ,1.5 160 CV MHEV TCT7 Sprint N1,"Liscate - Milano, IT","€ 32.700,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,KM0,5,5,7878797,22 mesi,10 km,12/2023,118 kW (160 CV),Automatico,1.469 cm³,7,4,1.525 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6d-TEMP,Comfort,Grigio,Grigio,Stoffa,"€ 0,-","€ 1.095,-","Chiusura centralizzata senza chiave*Park distance control*Sedile posteriore sdoppiato*Sensori di parcheggio assistito posteriori*Sistema di navigazione*Specchietti laterali elettrici*Supporto lombare*Telecamera per parcheggio assistito*Volante in pelle*Android Auto*Bluetooth*USB*ABS*Adaptive Cruise Control*Airbag conducente*Airbag laterali*Controllo elettronico della corsia*Fari LED*Fari full-LED*Riconoscimento dei segnali stradali*Cerchi in lega*Controllo vocale*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,NA,NA,Metallizzato,Nero,Intrattenimento / Media,Sicurezza,Extra,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alfa Romeo ,1.5 Hybrid Sprint,"Lentigione di Brescello - Reggio Emilia - Re, IT","€ 34.800,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,Aziendale,5,5,00999310352-N506973,NA,10 km,11/2023,NA,Automatico,NA,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6,NA,Blu/Azzurro,Blu Misano,Stoffa,"€ 0,-",Enthalten,"Kit antipanne*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,NA,NA,Altro,Altro,NA,NA,Extra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzina 91,NA
Alfa Romeo ,1.5 Hybrid Veloce,"Surbo - Lecce - Le, IT","€ 35.900,-",NA,NA,NA,NA,NA,NA,NA,SUV/Fuoristrada/Pick-up,Dimostrativo,5,5,03575990753-N343083,NA,14.085 km,09/2022,NA,Automatico,NA,7,4,1.600 kg,Corrente elettrica ,"5,7 l/100 km (comb.)",133 g/km (comb.),Euro 6,Comfort,Bianco,Bianco Alfa,Pelle parziale,"€ 0,-",Keine Angabe,"Sedili riscaldati*Supporto lombare*Kit antipanne*IVA deducibile*I dati di consumi ed emissioni per le auto usate si intendono riferiti al ciclo NEDC. Per le auto nuove, a partire dal 16.2.2021, iI rivenditore deve indicare i valori relativi al consumo di carburante ed emissione di CO2 misurati con il ciclo WLTP. Il rivenditore deve rendere disponibile nel punto vendita una guida gratuita su risparmio di carburante e emissioni di CO2 dei nuovi modelli di autovetture. Anche stile di guida e altri fattori non tecnici influiscono su consumo di carburante e emissioni di CO2. Il CO2 è il gas a effetto serra principalmente responsabile del riscaldamento terrestre.*Prezzo rivenditore*Queste informazioni sono fornite dal fornitore del certificato.",Anteriore,NA,NA,NA,Altro,Nero,NA,NA,Extra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzina 91,NA
